nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.3361344537815126,2.59,2.41,2.99,3.41,106.52%
Strawberries,0.3081232492997199,2.38,2.29,2.12,3.66,104.10%
Strawberries,0.2913165266106443,2.57,2.36,2.37,3.24,115.98%
Strawberries,0.2745098039215686,2.57,2.41,2.87,3.11,136.21%
Strawberries,0.22128851540616246,2.67,3.0,2.49,2.74,180.93%
Strawberries,0.20448179271708689,2.58,2.31,2.74,2.62,181.59%
Strawberries,0.18487394957983194,2.24,2.24,2.87,2.49,192.86%
Strawberries,0.1512605042016807,2.47,1.99,2.75,3.24,262.85%
Strawberries,0.1512605042016807,2.55,2.87,2.37,2.82,268.40%
Strawberries,0.16806722689075632,2.82,2.32,2.99,2.59,243.59%
Strawberries,0.25490196078431376,2.65,1.72,2.5,2.32,110.78%
Strawberries,0.2745098039215686,2.74,2.32,2.62,2.75,124.78%
Strawberries,0.2913165266106443,2.2,1.55,2.49,3.09,91.19%
Strawberries,0.25490196078431376,2.2,1.98,2.49,3.06,123.17%
Strawberries,0.2913165266106443,2.26,1.99,1.99,2.31,75.20%
Strawberries,0.2296918767507003,2.66,2.24,2.5,2.86,156.50%
Strawberries,0.25490196078431376,1.98,1.83,2.68,2.86,114.45%
Strawberries,0.21288515406162467,2.66,1.81,2.43,3.06,164.89%
Strawberries,0.2184873949579832,2.31,1.81,2.37,2.86,143.49%
Strawberries,0.18207282913165262,2.74,2.25,2.25,2.81,202.71%
Strawberries,0.21288515406162467,2.43,2.11,2.74,3.49,186.44%
Strawberries,0.2296918767507003,2.99,2.24,2.25,3.24,168.00%
Strawberries,0.27170868347338933,2.49,2.5,2.87,3.61,149.35%
Strawberries,0.42296918767507,2.99,2.61,1.87,3.32,59.62%
Strawberries,0.42296918767507,2.74,2.66,2.87,2.86,64.64%
Strawberries,0.39495798319327735,2.74,2.66,2.87,2.86,75.00%
Strawberries,0.4397759103641457,2.57,2.57,3.24,2.87,60.71%
Strawberries,0.4761904761904762,2.49,2.07,3.21,2.61,38.03%
