CENA               2021-04-11,CENA tydzień temu,CENA miesiąc temu,CENA  2020-03-08,CENA   rok temu,CENA           2 lata temu,2024-05-05 00:00:00,2024-04-21 00:00:00, miesiąc temu,rok temu,2 lata temu,CENA               2022-05-01,20.02.2022 r.,CENA               2023-07-02,CENA               2023-07-09,CENA               2023-07-16,CENA               2023-07-23,CENA               2023-07-30,CENA               21.12.20 - 03.01.21
0.6608720905498069,0.07965323130421384,0.19807245735893417,0.8138113893042961,-0.9809034146656382,-0.13362897222188252,,,,,,,,,,,,,
1.018780724599155,0.2518933796185827,0.2585464095997526,1.2447683497101663,-0.9671767012068263,-0.07873076241778526,,,,,,,,,,,,,
-1.119012717057678,-0.8497358621996137,-0.8986756954212566,-1.1902291989071592,-1.5605305024906637,-0.9423782820122156,,,,,,,,,,,,,
-1.0273092706502251,-0.8286653048558822,-0.8063801187830996,-0.9314683938825156,-1.569535105245533,-0.8130880014994666,,,,,,,,,,,,,
0.46666917255893875,-0.15075137351991963,-0.12076992639369964,0.06311785377521488,-1.2493487128432157,-0.7045250740910798,,,,,,,,,,,,,
,,,,,,1.0293477245688094,0.9009066127931913,0.9195037350603668,0.49529269451779817,0.9537235951990982,,,,,,,,
,,,,,,0.7533559147329515,0.8854365535926033,0.9314229066131354,0.7844968895248935,1.1480290607197428,,,,,,,,
,,,,,,-0.9733490231593308,-1.0260930222894313,-1.0490756911302093,-1.0069527955872815,-0.864998484832793,,,,,,,,
,,,,,,-1.1456099498954027,-1.108998296071818,-1.0585431343572498,-1.1582001439117298,-0.9785421595653778,,,,,,,,
,,,,,,0.33625533375297173,0.34874815197545767,0.2566921838139542,0.8853633554563195,-0.25821201152067164,,,,,,,,
,2.869964010954067,2.8011199307188646,,-0.5773587566372239,0.041152188343266005,,,,,,0.9443303224348578,1.3141151279691927,,,,,,
,2.9364438334082976,2.8257066386258645,,-0.5667043206615549,0.04961488166346483,,,,,,1.159625044023049,0.9898763063626972,,,,,,
,1.6945114048437828,1.5074851263945468,,-1.2242272860217602,-1.8629069672256222,,,,,,-0.945333160499479,-0.6242474405487479,,,,,,
,1.4669713299467968,0.6966855758134067,,-1.1374051285951787,-1.8092890910972754,,,,,,-0.8944717818358076,-1.2436818856515246,,,,,,
,1.955497119861422,2.029394075539901,,-0.5678589512617163,-0.6930254917473039,,,,,,-0.26415042412262285,-0.43606210813162344,,,,,,
,0.2402040598201172,0.2405384580034686,,1.2434911732733822,1.0120588809323612,,,,,,,1.3141151279691927,0.5583418386935968,,,,,
,0.25631753049101585,0.49403929602593416,,1.3908442714410312,1.3122034449437814,,,,,,,0.9898763063626972,0.8891679267927647,,,,,
,-0.8464677117765761,-0.9569753129492112,,0.3858457121197694,-0.5100080383290098,,,,,,,-0.6242474405487479,-0.9717056073635323,,,,,
,-0.9393356936417584,-0.8491205916596329,,0.3556282460849098,-0.26096752457037903,,,,,,,-1.2436818856515246,-1.1971278614771308,,,,,
,0.1613609105257388,0.42339271668666695,,0.5074886987179589,1.518384008215426,,,,,,,-0.43606210813162344,0.7213237033543054,,,,,
,0.024173047024402216,0.32514452351704,,1.2074904480617847,0.9797070348817103,,,,,,,1.3141151279691927,,0.8232585257206355,,,,
,0.2126716558965437,0.37555306437503455,,1.4216478956799115,1.2906641729230897,,,,,,,0.9898763063626972,,0.6438318321326378,,,,
,-0.8476197935803805,-0.9525108505506087,,0.2686848145471522,-0.5866875344461657,,,,,,,-0.6242474405487479,,-1.091736790076311,,,,
,-0.9760612401222216,-0.9738553552171254,,0.344107205523124,-0.10368165526959063,,,,,,,-1.2436818856515246,,-1.094702583558326,,,,
,0.11703711024399348,0.39064474850633263,,0.635533947768685,1.5447557591708065,,,,,,,-0.43606210813162344,,0.7193490157813637,,,,
,0.24016095471861443,0.3076898050133783,,1.1660045958634238,0.8812852870147798,,,,,,,1.3141151279691927,,,0.8004931190475694,,,
,0.14793954937597528,0.4186366275415659,,1.4241188556951367,1.2384437341603476,,,,,,,0.9898763063626972,,,0.6264262471045291,,,
,-0.7441048516439842,-0.9507739559574926,,0.37256367040193905,-0.7007543352777442,,,,,,,-0.6242474405487479,,,-1.1721016597652134,,,
,-0.7456292047789501,-0.9057304895093458,,0.31297513056647386,0.11823764391858574,,,,,,,-1.2436818856515246,,,-1.0107300265860886,,,
,0.18675373395653272,0.305772788018013,,0.6138410411319538,1.4048324636192095,,,,,,,-0.43606210813162344,,,0.7559123201992052,,,
,0.24986743984794707,0.33213927680437944,,0.9387217522544024,0.4359087268449951,,,,,,,1.3141151279691927,,,,0.8503703350029964,,
,0.14810413249080417,0.3497741177102899,,1.365887069978461,0.9923151988227821,,,,,,,0.9898763063626972,,,,0.7220449392546552,,
,-0.9033546898236186,-0.8571317499310921,,0.08599799877937717,-1.2312418572342563,,,,,,,-0.6242474405487479,,,,-1.0539769347534103,,
,-0.8090132972161552,-0.9587679597144517,,-0.047047280813404764,-0.8818669020077275,,,,,,,-1.2436818856515246,,,,-1.128202732346225,,
,0.2238045280210626,0.2458520688698168,,0.6336718848533265,1.3514097603072879,,,,,,,-0.43606210813162344,,,,0.6097643928419821,,
,0.28932428230545665,0.09571146933795281,,0.8253178255842794,0.14822399543416265,,,,,,,1.3141151279691927,,,,,0.6713110807402491,
,0.2140431818534535,0.3020073720852824,,1.1442737910669498,0.35257774114406654,,,,,,,0.9898763063626972,,,,,0.7338610399933931,
,-0.8278463079273275,-0.8583926067468356,,0.015914195239162293,-1.520573847215717,,,,,,,-0.6242474405487479,,,,,-1.2544843907902414,
